Name,Designation,Domain,Region ,University or Company,Experience ,linkdin profiles 
Johns T Mathai ,Founder & CEO,Robotics & Automation,"Kochi, Kerala, India  ", EyeROV ,12+ years,https://in.linkedin.com/in/johnstmathai
Pranav Srinivasan,Co-Founder,Robotics & Automation,"Bengaluru, Karnataka, India", Accio Robotics ,7+ years ,https://in.linkedin.com/in/pranav-srinivasan-b8a989114
Athil Krishna,Founder & CEO ,Robotics & Automation,"Kerala, India",I HUB Robotics ,9+ years,https://in.linkedin.com/in/athil-krishna-33aaa3160
Bir Singh,Co-Founder,Robotics & Automation,"Noida, Uttar Pradesh, India",Addverb,10+ years,https://in.linkedin.com/in/bir-singh-addverb
Hrittick Roy,Founder & Director ,Robotics & Automation,"New Delhi, India ",Synthera Robotics,4+ years ,https://in.linkedin.com/in/hrittick-roy
Pratyush Kumar,Co-Founder ,Artificial Intelligence & Machine Learning,"Chennai, Tamil Nadu ",Sarvam AI / IIT Bombay ,15+ years ,https://in.linkedin.com/in/pratyush-kumar-8844a8a3?utm_source=chatgpt.com
Vivek Raghavan,Co-Founder ,Artificial Intelligence & Machine Learning,"Bengaluru, Karnataka",Sarvam AI / IIT Madras,20+ years,https://in.linkedin.com/in/vivek-raghavan-16005424?utm_source=chatgpt.com
Mitesh Khapra,Professor & AI Researcher,Artificial Intelligence & Machine Learning,"Chennai, Tamil Nadu  ",IIT Madras ,15+ years,https://in.linkedin.com/in/mitesh-khapra-3bb3032?utm_source=chatgpt.com
Ankush Sabharwal,Founder & CEO ,Artificial Intelligence & Machine Learning,"Bengaluru, Karnataka",CoRover / BITS Pilani ,15+ years,https://in.linkedin.com/in/ankushsabharwal?utm_source=chatgpt.com
Abhishek Upperwal,Founder & CEO,Artificial Intelligence & Machine Learning,"Gurugram, Haryana ",Soket AI Labs / IISc Bangalore,10+ years,https://in.linkedin.com/in/upperwal?utm_source=chatgpt.com
Bharath Shankar,Co-Founder & AI Leader,"Speech AI, Generative AI & ML ","Bengaluru, Karnataka", Gnani.ai / BMS College of Engineering,15+ years ,https://in.linkedin.com/in/bharath-shankar-143b1914?utm_source=chatgpt.com
Ashwini Asokan, Co-Founder & CEO,Artificial Intelligence & Machine Learning," Chennai, Tamil Nadu",Mad Street Den / Carnegie Mellon University,10+ years,https://www.linkedin.com/in/ashwiniasokan/?utm_source=chatgpt.com
Anand Chandrasekaran,Founder & CTO,Artificial Intelligence & Computer Vision , United States / India ,Mad Street Den / Stanford University, 15+ years ,https://www.linkedin.com/in/anandchandrasekaran?utm_source=chatgpt.com
Balaraman Ravindran," Professor & Head, Wadhwani School of Data Science & AI",Machine Learning & Reinforcement Learning," Chennai, Tamil Nadu", IIT Madras / University of Massachusetts Amherst, 30+ years,https://in.linkedin.com/in/balaraman-ravindran-427a307?utm_source=chatgpt.com
Sravanth Aluru,CEO & Co-Founder ,Applied AI & Computer Vision, Bengaluru/ San Francisco,Avataar / IIT Bombay / Wharton,15+ years,https://www.linkedin.com/in/sravanth?utm_source=chatgpt.com
Kunal Jain,Founder & CEO ,Data Science & Analytics,"Gurugram, Haryana ", Analytics Vidhya / IIT Bombay     ,18+ years,https://in.linkedin.com/in/jaink?utm_source=chatgpt.com
Srikanth Velamakanni,"Co-Founder, Group CEO & Executive Vice-Chairman",Data Science & Analytics,"Mumbai, Maharashtra ",Fractal / IIM Ahmedabad,25+ years,https://in.linkedin.com/in/srikanthvelamakanni?utm_source=chatgpt.com
Pranay Agrawal,Co-Founder & CEO,Data Science & Analytics,"New York, USA",Fractal / IIM Ahmedabad ,25+ years,https://www.linkedin.com/in/pranayfractal?utm_source=chatgpt.com
Tavish Srivastava,Co-Founder & Chief Strategy Officer,Data Science & Analytics," London, UK ",Analytics Vidhya / IIT Madras , 8+ years,https://uk.linkedin.com/in/tavish-srivastava?utm_source=chatgpt.com
Sunil Ray,Chief Content Officer,Data Science & Analytics,"Gurugram, Haryana",Analytics Vidhya / BRAB University,13+ years,https://in.linkedin.com/in/sunil-ray?utm_source=chatgpt.com
Anand Mishra,Chief Technology Officer,Data Science & Analytics,"Gurugram, Haryana ",Analytics Vidhya / IIT Kanpur , 10+ years ,https://in.linkedin.com/in/anand--mishra?utm_source=chatgpt.com
Hemanand Vadivel,Co-Founder   ,Data Science & Analytics,"Hyderabad, Telangana", Codebasics,10+ years ,https://in.linkedin.com/in/hemvad?utm_source=chatgpt.com
Dhaval Patel,Co-Founder & AI/Data Entrepreneur ,Data Science & Analytics,"Princeton, New Jersey, USA",Codebasics / Dharmsinh Desai University, 17+ years,https://www.linkedin.com/in/dhavalsays?utm_source=chatgpt.com
Shashank Singh,Data Analytics & Power BI Professional,Data Science & Analytics,"Bengaluru, Karnataka",PwC India, 5+ years ,https://in.linkedin.com/in/shashank-singh-%F0%9F%87%AE%F0%9F%87%B3-ba4b59150?utm_source=chatgpt.com
Aishwarya Srinivasan,Head of Developer Relations, Data Science & Analytics,United States,Fireworks AI / Columbia University ,8+ years,https://www.linkedin.com/in/aishwarya-srinivasan?utm_source=chatgpt.com
Girish Mathrubootham,Founder & CEO,Software & SaaS,"Chennai, Tamil Nadu",Freshworks / University of Madras,25+ years,https://www.linkedin.com/in/girishmathrubootham/?utm_source=chatgpt.com
Sridhar Vembu,Co-Founder & Chief Scientist,Software & SaaS,"Chennai, Tamil Nadu",Zoho / IIT Madras,30+ years,https://www.linkedin.com/in/sridhar-vembu/?utm_source=chatgpt.com
Abhinav Asthana,Co-Founder & CEO,Software & SaaS,"Bengaluru, Karnataka ",Postman / IIT Allahabad, 15+ years,https://www.linkedin.com/in/abhinavasthana/?utm_source=chatgpt.com
Ritesh Arora,Co-Founder & CEO,Software & SaaS ,"Mumbai, Maharashtra ",BrowserStack / IIT Bombay,15+ years,https://www.linkedin.com/in/ritesharora/?utm_source=chatgpt.com
Nakul Aggarwal, Co-Founder & CTO,Software & SaaS,"Mumbai, Maharashtra",BrowserStack / IIT Bombay ,15+ years ,https://www.linkedin.com/in/nakulagg/?utm_source=chatgpt.com
Manav Garg,Founder & CEO,Software & SaaS,"Bengaluru, Karnataka ",Eka Software Solutions / IIT Delhi , 20+ years,https://www.linkedin.com/in/manavgarg/?utm_source=chatgpt.com
Kiran Darisi,Co-Founder,Software & SaaS,"Hyderabad, Telangana",Atomicwork / University of Illinois Urbana-Champaign,15+ years ,https://www.linkedin.com/in/kirandarisi/?utm_source=chatgpt.com
Neha Narkhede,Co-Founder & CEO ,Software & SaaS,"Palo Alto, USA / Pune, India",Oscilar / Georgia Tech, 15+ years,https://www.linkedin.com/in/nehanarkhede/?utm_source=chatgpt.com
Manisha Raisinghani,Co-Founder & CTO, Software & SaaS ,"Mumbai, Maharashtra ",LogiNext / IIT Bombay ,15+ years,https://www.linkedin.com/in/manisharaisinghani/?utm_source=chatgpt.com
Anindita Banik,Co-Founder & CEO ,Software & SaaS,"Hyderabad, Telangana",SmartWinnr   ,15+ years ,https://www.linkedin.com/in/anindita-banik-3122756/?utm_source=chatgpt.com
Raghav Grandhi,Group Chief Information Security Officer,Cybersecurity,"Hyderabad, Telangana",,,
K S Krishna,Vice President - Cyber Security @ Wells Fargo,"Cybersecurity, Information Security, Consulting  ","Hyderabad, Telangana",,,
Venugopal Parameswara,Chief Information Security Officer,Cybersecurity Strategist,"Chennai, Tamil Nadu ",,,
Vishwas Pitre,Chief Information Secuirty Officer (CISO),"Cybersecurity, Data Privacy, Information Security       ","Pune, Maharashtra",,,
Dr. Sudhir,(CISO) Chief Information Security Officer at Arridae Infosec Pvt. Ltd.,"Cybersecurity, Data Protection, Digital Forensics ","Bengaluru, Karnataka ",,,
Lekshmi Nair,Head of Application and Offensive Security at NTT Data Inc,"Application Security, Offensive Security, Cybersecurity","Bengaluru, Karnataka",,,
Dr. Priyanka Sunder PD,Cybersecurity leader driving strategic digital security transformation,"Cybersecurity GRC, Risk, Security Awareness  ", India     ,,,
Kalpana B N,Fervent Security Researcher," Dependable Computing, Cybersecurity Research","Chennai, Tamil Nadu ",,,
Suhani Chamankar,Associate Director - Cybersecurity,Cyber Security ," Mumbai, Maharashtra ",,,
Abayavidya Rengahari,Head of Security Validations @ Infosys,Cyber Security,"Bengaluru, Karnataka",,,
Srinivas Mahankali,SAP Program Delivery,Blockchain & Web3,United States,,,
,,,,,,
Ritu Jain,Associate Program Director at Birlasoft,Blockchain,"Noida, Uttar Pradesh, India",,,
Anasuya Threse Innocen,Founder & Director,BlockChain & Web3,Greater Bengaluru Area,,,
Kavitha Kanaparthi,Founder-Chief Soul,Blockchain,"Kalamazoo, Michigan, United States",,,
Garima Singh,Chief Technology Officer,Blockchain & Digital Assets Architect,"Pune District, Maharashtra, India",,,
Ankita Patidar,Tech Lead at AYANWORKS-Building Self Sovereign Identity Products,Blockchain,"Pune District, Maharashtra, India",,,
Dhriti Misra,Web3 Project Lead,Blockchain Engineer,"Mumbai, Maharashtra, India",,,
Dr. Padmaja Patwardhan Joshi,Senior Director,Blockchain,Mumbai Metropolitan Region,,,
Mohan Raju,Vice President & Vertical Head IOT,IOT,"Mumbai, Maharashtra, India",,,
Praveen Arora,Global Business Head and VP,IOT,"Gurgaon, Haryana, India",,,
Kapil Mahajan,Board Member,IOT,"Delhi, India",,,
Sudhanshu Mitta,Head & Director Technical Solutions @MeitY-Nasscom CoE,IOT & AI,"New Delhi, Delhi, India",,,
Sudha Jamthe,Professor,IOT & AI,San Francisco Bay Area,,,
Mallikarjuna Bande,Director,AI,"Bengaluru, Karnataka",,,
Amit Kumar,Senior Director,electronics based products,"Bengaluru, Karnataka",,,
Reshma Krishnakumar,Design Engineer,Circuit Design,"Kerala, India",,,
Keerthy Unnikrishnan,Principal CFM Defect Engineer,Software,"Bengaluru, Karnataka",,,
Safeer Afaque,"Member of Technical Staff, Automation and Analytics","Semiconductor Manufacturing, AI/ML","Mumbai, Maharashtra",,,
Sana Shaikh,"R&D Engineering, Sr Director Synopsys Inc",Software,"Mumbai, Maharashtra",,,
Hitesh Garg,"Vice President and India Country Manager, NXP Semiconductors",electronics based products,"Bengaluru, Karnataka",,,
Smita Raj,Software Process & Quality Leader,Cybersecurity ,Bengaluru,,,
Anjali L,Former Senior Engineer,Signal Circuit Design,"Alappuzha, Kerala",,,
Sumit Kumar,Senior Leader Design Verification Engineering,Semiconductor Mentor,"Bengaluru, Karnataka",,,
Jay Shah,GF India Site Lead,Semiconductor Device Design Team,"Bengaluru, Karnataka",,,
Monila Juneja,Semiconductor professional,R&D Engineering,"Noida, Uttar Pradesh",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
SANA,,,,,,
